Id,Label,timeset,degree,weighted degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
"Перец черный молотый",Перец черный молотый,,1802,123417,0,2,0.905556,0.947853,1799.255145
"Консервированная фасоль",Консервированная фасоль,,1471,59258,2,2,0.580071,0.638037,0.835521
"Соль",Соль,,1830,134644,1,1,1,1,3902.955145
"Лимон",Лимон,,1666,80260,14,2,0.679167,0.763804,115.088468
"Чеснок",Чеснок,,1754,107032,2,2,0.79902,0.874233,649.771812
"Оливковое масло",Оливковое масло,,1781,115003,3,2,0.84456,0.907975,1107.638134
"Рукола",Рукола,,1642,80601,18,2,0.659919,0.742331,79.606845
"Творожный сыр",Творожный сыр,,1435,57289,4,2,0.567944,0.619632,0.026316
"Красный лук",Красный лук,,1697,89651,4,2,0.71179,0.797546,221.435477
"Инжир",Инжир,,408,2222,5,0,0,0,0
"Мед",Мед,,1167,25101,129,2,0.594891,0.659509,7.465597
"Соленые анчоусы в масле",Соленые анчоусы в масле,,235,860,6,0,0,0,0
"Петрушка",Петрушка,,1211,32104,11,2,0.636719,0.714724,44.705182
"Шампиньоны",Шампиньоны,,758,8059,15,2,0.519108,0.53681,0
"Картофель",Картофель,,1137,25577,35,2,0.588448,0.650307,18.464798
"Лавровый лист",Лавровый лист,,500,3196,7,0,0,0,0
"Розмарин",Розмарин,,366,1704,8,0,0,0,0
"Бальзамический уксус",Бальзамический уксус,,1181,26943,0,2,0.605948,0.674847,28.900071
"Растительное масло",Растительное масло,,1282,33369,37,2,0.629344,0.705521,38.840123
"Цукини",Цукини,,761,7302,3,2,0.514196,0.527607,0
"Козий сыр",Козий сыр,,742,7596,0,2,0.514196,0.527607,0
"Красная консервированная фасоль",Красная консервированная фасоль,,1479,59836,23,2,0.580071,0.638037,0.835521
"Сыр фета",Сыр фета,,1588,71929,28,2,0.634241,0.711656,29.206905
"Сладкий красный лук",Сладкий красный лук,,706,6509,1,2,0.509375,0.518405,0
"Баклажаны",Баклажаны,,752,8331,0,2,0.520767,0.539877,0
"Красный сладкий перец",Красный сладкий перец,,908,12667,11,2,0.534426,0.564417,0
"Кинза",Кинза,,1018,16865,46,2,0.550676,0.592025,2.894755
"Морепродукты",Морепродукты,,221,629,9,0,0,0,0
"Салат айсберг",Салат айсберг,,900,11139,10,2,0.527508,0.552147,0
"Помидоры черри",Помидоры черри,,1236,30539,10,2,0.624521,0.699387,36.178812
"Помидоры",Помидоры,,1745,98816,11,2,0.751152,0.834356,370.83263
"Королевские креветки",Королевские креветки,,522,2831,12,0,0,0,0
"Зеленый салат",Зеленый салат,,1638,78507,13,2,0.657258,0.739264,66.319103
"Огурцы",Огурцы,,1741,102618,14,2,0.779904,0.858896,544.153558
"Майонез",Майонез,,1677,92433,15,2,0.708696,0.794479,361.60295
"Кунжутные семечки",Кунжутные семечки,,749,7244,48,2,0.512579,0.52454,0
"Сушеный красный перец",Сушеный красный перец,,304,1042,16,0,0,0,0
