	id	ingredient	amount	name
0	13420	Перец черный молотый	по вкусу	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
1	13804	Консервированная фасоль	400 г	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
2	13421	Соль	по вкусу	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
3	13427	Лимон	1 штука	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
4	13430	Чеснок	2 зубчика	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
5	13513	Оливковое масло	50 мл	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
6	13888	Рукола	100 г	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
7	16937	Творожный сыр	200 г	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
8	13643	Красный лук	50 г	salat-iz-krasnoj-fasoli-s-tvorozhnim-sirom-krasnim-lukom-i-sezonnim-salatom-16922
9	13439	Помидоры	3 штуки	salat-s-krevetkami-kunzhutom-21742
10	14235	Королевские креветки	300 г	salat-s-krevetkami-kunzhutom-21742
11	13414	Зеленый салат	1 пучок	salat-s-krevetkami-kunzhutom-21742
12	15137	Огурцы	2 штуки	salat-s-krevetkami-kunzhutom-21742
13	13421	Соль	по вкусу	salat-s-krevetkami-kunzhutom-21742
14	13440	Майонез	по вкусу	salat-s-krevetkami-kunzhutom-21742
15	13739	Кунжутные семечки	3 столовые ложки	salat-s-krevetkami-kunzhutom-21742
16	13420	Перец черный молотый	по вкусу	salat-s-krevetkami-kunzhutom-21742
17	15074	Сушеный красный перец	½ штуки	salat-s-krevetkami-kunzhutom-21742
18	13427	Лимон	½ штуки	salat-s-krevetkami-kunzhutom-21742
